City,ILR,discount_rate,Initial_invest,NPV,IRR,npv_over_I,ppa_eur_mwh,module_factor,module_reduction_pct
Ljubljana,2.37,0.0788,42399000.0,-14003974.654581899,0.036511673291038216,-0.33029021096209576,35,0.55,44.99999999999999
Ljubljana,2.42,0.0788,43018500.0,-14400771.093737125,0.03587887962160918,-0.33475762971133644,35,0.55,44.99999999999999
Ljubljana,2.46,0.0788,43638000.0,-14806161.45569726,0.03523394560210402,-0.33929514312519504,35,0.55,44.99999999999999
Ljubljana,2.51,0.0788,44257500.0,-15219810.417153595,0.03457823534665483,-0.34389223108294853,35,0.55,44.99999999999999
Ljubljana,2.56,0.0788,44879625.0,-15645010.914298048,0.03390438278197405,-0.34859941263542304,35,0.55,44.99999999999999
Ljubljana,2.61,0.0788,45499125.0,-16074916.832606962,0.033228720385962696,-0.3533016697047902,35,0.55,44.99999999999999
Ljubljana,2.65,0.0788,46118625.0,-16512696.904040657,0.03254409371822686,-0.3580483352233649,35,0.55,44.99999999999999
Ljubljana,2.7,0.0788,46740750.0,-16961790.323303986,0.0318429315180937,-0.3628908462809002,35,0.55,44.99999999999999
Ljubljana,2.75,0.0788,47360250.0,-17415225.087513,0.03114118585380865,-0.36771818323410455,35,0.55,44.99999999999999
Ljubljana,2.79,0.0788,47979750.0,-17875883.470924553,0.03043283558239951,-0.3725714175443714,35,0.55,44.99999999999999
Ljubljana,2.84,0.0788,48601875.0,-18346944.109573882,0.029711326981176844,-0.3774945742231937,35,0.55,44.99999999999999
London,1.0,0.0856,24409875.0,-13622521.075835083,0.005283044950254556,-0.5580741841502704,35,0.55,44.99999999999999
London,1.05,0.0856,25032000.0,-13726992.205541346,0.007032284510365638,-0.5483777646828598,35,0.55,44.99999999999999
London,1.1,0.0856,25651500.0,-13828309.857765907,0.008688424643539028,-0.5390838686925095,35,0.55,44.99999999999999
London,1.14,0.0856,26271000.0,-13929863.59261223,0.010246907911405367,-0.5302372803704553,35,0.55,44.99999999999999
London,1.19,0.0856,26890500.0,-14032183.984355915,0.01171292112432587,-0.5218268155800716,35,0.55,44.99999999999999
London,1.24,0.0856,27512625.0,-14143258.954872986,0.013052786130450134,-0.5140643233741959,35,0.55,44.99999999999999
London,1.28,0.0856,28132125.0,-14259053.397201221,0.014285343187175004,-0.5068601606597873,35,0.55,44.99999999999999
London,1.33,0.0856,28751625.0,-14386521.969955146,0.01538643879197199,-0.5003724822494432,35,0.55,44.99999999999999
London,1.38,0.0856,29373750.0,-14532490.625284417,0.016334883754984597,-0.4947441380581103,35,0.55,44.99999999999999
London,1.43,0.0856,29993250.0,-14688828.564141791,0.01717336765258559,-0.48973780981193404,35,0.55,44.99999999999999
London,1.47,0.0856,30612750.0,-14858957.75415264,0.017898492620875395,-0.4853846111229027,35,0.55,44.99999999999999
London,1.52,0.0856,31232250.0,-15041958.311321726,0.01852320903120863,-0.48161622397751447,35,0.55,44.99999999999999
London,1.57,0.0856,31854375.0,-15243516.694595516,0.019031325869127258,-0.4785376167196976,35,0.55,44.99999999999999
London,1.61,0.0856,32473875.0,-15454598.024248708,0.019463670414425538,-0.47590865039200614,35,0.55,44.99999999999999
London,1.66,0.0856,33093375.0,-15678354.258711707,0.01981560991991116,-0.4737611155922207,35,0.55,44.99999999999999
London,1.71,0.0856,33715500.0,-15918583.742130805,0.020079542185206467,-0.4721443769818275,35,0.55,44.99999999999999
London,1.76,0.0856,34335000.0,-16168116.647157755,0.02028308210763874,-0.4708931599579949,35,0.55,44.99999999999999
London,1.8,0.0856,34954500.0,-16429316.703299435,0.020424373254081862,-0.4700200747628899,35,0.55,44.99999999999999
London,1.85,0.0856,35574000.0,-16702275.664566785,0.020506391834961946,-0.4695079458190472,35,0.55,44.99999999999999
London,1.9,0.0856,36196125.0,-16989511.653424326,0.020526423172590347,-0.4693737700768888,35,0.55,44.99999999999999
London,1.95,0.0856,36815625.0,-17284035.381615747,0.020507807582903936,-0.4694755387587674,35,0.55,44.99999999999999
London,1.99,0.0856,37435125.0,-17588620.827075712,0.020445677600111845,-0.4698427166217747,35,0.55,44.99999999999999
London,2.04,0.0856,38057250.0,-17906674.515697144,0.020332720480324973,-0.4705194021033349,35,0.55,44.99999999999999
London,2.09,0.0856,38676750.0,-18230806.18846278,0.020192215738076946,-0.47136344673383307,35,0.55,44.99999999999999
London,2.13,0.0856,39296250.0,-18564609.55538221,0.0200154888346864,-0.4724270014411607,35,0.55,44.99999999999999
London,2.18,0.0856,39915750.0,-18907540.793969326,0.019806342808430077,-0.47368622145316885,35,0.55,44.99999999999999
London,2.23,0.0856,40537875.0,-19262766.072204374,0.019558298387705397,-0.4751794728313799,35,0.55,44.99999999999999
London,2.28,0.0856,41157375.0,-19623762.443489686,0.019289138473556067,-0.47679820307999926,35,0.55,44.99999999999999
London,2.32,0.0856,41776875.0,-19994105.359243155,0.018990413435513442,-0.4785926510597826,35,0.55,44.99999999999999
London,2.37,0.0856,42399000.0,-20377095.231652126,0.01865523023008242,-0.4806032036522589,35,0.55,44.99999999999999
London,2.42,0.0856,43018500.0,-20765605.813779075,0.018302755379294267,-0.4827133864216343,35,0.55,44.99999999999999
London,2.46,0.0856,43638000.0,-21162554.034976285,0.01792721437804623,-0.4849570107469702,35,0.55,44.99999999999999
London,2.51,0.0856,44257500.0,-21567418.701599356,0.017531341361148867,-0.48731669664123267,35,0.55,44.99999999999999
London,2.56,0.0856,44879625.0,-21983048.60835285,0.01710992753727747,-0.48982246639433485,35,0.55,44.99999999999999
London,2.61,0.0856,45499125.0,-22402262.013047457,0.016680854210222584,-0.492366875473923,35,0.55,44.99999999999999
London,2.65,0.0856,46118625.0,-22828402.532512937,0.016236751438062358,-0.49499312983665356,35,0.55,44.99999999999999
London,2.7,0.0856,46740750.0,-23264712.94389548,0.015771010255254403,-0.49773940178314385,35,0.55,44.99999999999999
London,2.75,0.0856,47360250.0,-23704310.152729098,0.015299581482853597,-0.5005106635359631,35,0.55,44.99999999999999
London,2.79,0.0856,47979750.0,-24150081.036213845,0.014816925922917612,-0.5033390344095967,35,0.55,44.99999999999999
London,2.84,0.0856,48601875.0,-24605450.59009514,0.01431591961359202,-0.5062654597193038,35,0.55,44.99999999999999
Luxembourg,1.0,0.0589,24409875.0,-9430598.380101481,0.013033103908385746,-0.38634357529899194,35,0.55,44.99999999999999
Luxembourg,1.05,0.0589,25032000.0,-9335449.438394597,0.01484469011442835,-0.37294061355043934,35,0.55,44.99999999999999
Luxembourg,1.1,0.0589,25651500.0,-9237046.392176341,0.0165602487372134,-0.3600977093805953,35,0.55,44.99999999999999
Luxembourg,1.14,0.0589,26271000.0,-9139009.696584096,0.01817525913536988,-0.34787445078543244,35,0.55,44.99999999999999
Luxembourg,1.19,0.0589,26890500.0,-9044143.968359318,0.01968493487224454,-0.33633230949068693,35,0.55,44.99999999999999
Luxembourg,1.24,0.0589,27512625.0,-8962664.168417484,0.021054349608451428,-0.325765504688029,35,0.55,44.99999999999999
Luxembourg,1.28,0.0589,28132125.0,-8893465.68354184,0.022292574717147184,-0.3161320264125742,35,0.55,44.99999999999999
Luxembourg,1.33,0.0589,28751625.0,-8842371.58928039,0.023388454992987473,-0.30754336804547183,35,0.55,44.99999999999999
Luxembourg,1.38,0.0589,29373750.0,-8814778.057009913,0.02433337547122938,-0.3000903206778131,35,0.55,44.99999999999999
Luxembourg,1.43,0.0589,29993250.0,-8806679.023837078,0.025148968652280557,-0.29362203241853013,35,0.55,44.99999999999999
Luxembourg,1.47,0.0589,30612750.0,-8820726.89297129,0.025837072903758695,-0.28813899087704603,35,0.55,44.99999999999999
Luxembourg,1.52,0.0589,31232250.0,-8858381.018826447,0.026400746392541974,-0.28362929404146187,35,0.55,44.99999999999999
Luxembourg,1.57,0.0589,31854375.0,-8924269.32446684,0.026833065557686275,-0.2801583557821128,35,0.55,44.99999999999999
Luxembourg,1.61,0.0589,32473875.0,-9008640.060441699,0.02717417262507893,-0.2774119214427505,35,0.55,44.99999999999999
Luxembourg,1.66,0.0589,33093375.0,-9111603.376141163,0.02743204492952689,-0.27533013408699364,35,0.55,44.99999999999999
Luxembourg,1.71,0.0589,33715500.0,-9236055.578665944,0.02760357645012168,-0.2739409345454151,35,0.55,44.99999999999999
Luxembourg,1.76,0.0589,34335000.0,-9374030.308549913,0.027717277385176153,-0.27301675574632045,35,0.55,44.99999999999999
Luxembourg,1.8,0.0589,34954500.0,-9528013.586054591,0.027770059184602625,-0.2725833179148491,35,0.55,44.99999999999999
Luxembourg,1.85,0.0589,35574000.0,-9698221.080997214,0.02776439984906376,-0.27262104573557133,35,0.55,44.99999999999999
Luxembourg,1.9,0.0589,36196125.0,-9886610.17832131,0.027699030830096616,-0.27314001646091424,35,0.55,44.99999999999999
Luxembourg,1.95,0.0589,36815625.0,-10085509.955554403,0.027597958827825897,-0.2739464549509727,35,0.55,44.99999999999999
Luxembourg,1.99,0.0589,37435125.0,-10299478.35435683,0.02745012315937534,-0.2751287288170356,35,0.55,44.99999999999999
Luxembourg,2.04,0.0589,38057250.0,-10531579.853249172,0.02725002787205799,-0.2767299227676506,35,0.55,44.99999999999999
Luxembourg,2.09,0.0589,38676750.0,-10774614.498123137,0.027018541785964523,-0.2785811759809999,35,0.55,44.99999999999999
Luxembourg,2.13,0.0589,39296250.0,-11031510.202992242,0.02674999501864117,-0.2807267920728375,35,0.55,44.99999999999999
Luxembourg,2.18,0.0589,39915750.0,-11302182.494275646,0.026446184190249244,-0.2831509490433136,35,0.55,44.99999999999999
