City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Valletta,1.57,1.0,50.05,78.45,119120.28352574956,84240.88356958229,34879.39995616727,134307.35787131244,-13007.704036592884,41.40436149076851,-12.258399615968342
Valletta,1.61,1.0,50.05,80.81,121165.97879183991,84240.88356958229,36925.095222257616,138352.76021683394,-14949.629617491377,43.83274920396316,-14.074697288787764
Valletta,1.66,1.0,50.05,83.17,123121.68184978802,84240.88356958229,38880.79828020572,142398.1625623553,-16981.317990865555,46.15430968039467,-15.99892573708947
Valletta,1.71,1.0,50.05,85.54,124992.20982501781,84240.88356958229,40751.32625543552,146443.5649078768,-19098.377031284337,48.374761195109315,-18.035400671996953
Valletta,1.76,1.0,50.05,87.9,126776.82202017836,84240.88356958229,42535.93845059606,150488.96725339832,-21302.00088777884,50.49322448696982,-20.196290127896066
Valletta,1.8,1.0,50.05,90.26,128479.08182857922,84240.88356958229,44238.19825899693,154534.36959891967,-23587.52539211811,52.5139295606468,-22.487534929855332
Valletta,1.85,1.0,50.05,92.62,130107.4331684492,84240.88356958229,45866.54959886691,158579.77194444116,-25946.916014714385,54.44689995562726,-24.91050997415677
Valletta,1.9,1.0,50.05,94.99,131659.4722163655,84240.88356958229,47418.58864678322,162625.17428996266,-28383.253947281148,56.289282160265856,-27.48285561089106
Valletta,1.95,1.0,50.05,97.35,133140.6028871254,84240.88356958229,48899.7193175431,166670.57663548406,-30890.005663658918,58.04749101088467,-30.210098036053008
Valletta,1.99,1.0,50.05,99.71,134558.38901600303,84240.88356958229,50317.505446420735,170715.97898100552,-33459.651008481866,59.730505325076365,-33.096012539733835
Valletta,2.04,1.0,50.05,102.08,135917.2042383388,84240.88356958229,51676.32066875651,174761.38132652701,-36088.24807522755,61.34351692319595,-36.15008056005584
Valletta,2.09,1.0,50.05,104.44,137220.58531358262,84240.88356958229,52979.701744000326,178806.78367204856,-38772.166585525694,62.89072419360312,-39.38322939713807
Valletta,2.13,1.0,50.05,106.8,138472.89905108835,84240.88356958229,54232.01548150605,182852.18601756997,-41506.93230830553,64.37731085371492,-42.805670589980366
Valletta,2.18,1.0,50.05,109.16,139677.14589918542,84240.88356958229,55436.26232960312,186897.58836309143,-44289.64026428403,65.80683865193937,-46.43128045910331
Valletta,2.23,1.0,50.05,111.53,140837.5344539161,84240.88356958229,56596.65088433381,190942.99070861284,-47115.94179015062,67.18430349509028,-50.27223764664696
Valletta,2.28,1.0,50.05,113.89,141958.1900084654,84240.88356958229,57717.30643888311,194988.39305413427,-49981.83201984481,68.51460240348628,-54.342043012867094
Valletta,2.32,1.0,50.05,116.25,143039.46564795155,84240.88356958229,58798.58207836926,199033.79539965576,-52887.211936671236,69.79815451460941,-58.66432591474273
Valletta,2.37,1.0,50.05,118.62,144083.71905515823,84240.88356958229,59842.83548557594,203079.19774517725,-55829.52208522906,71.03775856784104,-63.25990604645333
Valletta,2.42,1.0,50.05,120.98,145094.01856749508,84240.88356958229,60853.134997912784,207124.60009069872,-58805.40138536133,72.23705690082012,-68.1496624997916
Valletta,2.46,1.0,50.05,123.34,146072.99783212953,84240.88356958229,61832.11426254724,211170.00243622012,-61812.64960614382,73.39917584254017,-73.35911957112103
Valletta,2.51,1.0,50.05,125.7,147021.67047388546,84240.88356958229,62780.78690430317,215215.40478174158,-64850.09868673487,74.52531863871863,-78.92035807069188
Valletta,2.56,1.0,50.05,128.07,147941.78163062411,84240.88356958229,63700.89806104182,219260.80712726305,-67916.05512714437,75.6175568937681,-84.86777701942036
Valletta,2.61,1.0,50.05,130.43,148834.38669016497,84240.88356958229,64593.50312058268,223306.20947278442,-71009.60816451993,76.67714342909161,-91.24292996364987
Valletta,2.65,1.0,50.05,132.79,149700.58746777335,84240.88356958229,65459.70389819106,227351.611818306,-74129.5540140318,77.70538617881645,-98.092550314808
Valletta,2.7,1.0,50.05,135.16,150541.2338223312,84240.88356958229,66300.35025274892,231397.0141638274,-77274.94926928962,78.70329398668446,-105.47136345278423
Valletta,2.75,1.0,50.05,137.52,151357.23247945623,84240.88356958229,67116.34890987394,235442.4165093488,-80445.15762972254,79.67194320135113,-113.44352538011324
Valletta,2.79,1.0,50.05,139.88,152149.62219027392,84240.88356958229,67908.73862069163,239487.81885487033,-83638.78839241574,80.61256689526476,-122.08111295097169
Valletta,2.84,1.0,50.05,142.25,152920.03557067813,84240.88356958229,68679.15200109583,243533.2212003918,-86854.30538071383,81.52710310115326,-131.46650333081072
Vienna,1.0,1.0,50.05,50.09,58794.48453056142,58794.48453056142,0.0,59900.91415388877,-0.0,0.0,-0.0
Vienna,1.05,1.0,50.05,52.46,61574.517756949695,58794.48453056142,2780.0332263882738,62726.428972468435,-0.6707864501677581,4.728391189386498,-0.001089401561167904
Vienna,1.1,1.0,50.05,54.82,64332.41807457868,58794.48453056142,5537.933544017258,65551.9437910481,-25.022361172755385,9.419137846405706,-0.03891054970453276
Vienna,1.14,1.0,50.05,57.18,67038.05440940267,58794.48453056142,8243.569878841248,68377.45860962773,-103.0779402356579,14.020991840750357,-0.1539971262754381
Vienna,1.19,1.0,50.05,59.54,69667.38535817327,58794.48453056142,10872.900827611847,71202.97342820739,-260.12641587036626,18.49306259664562,-0.3747827242199624
Vienna,1.24,1.0,50.05,61.91,72201.26637876638,58794.48453056142,13406.781848204955,74028.48824678706,-512.9247164715528,22.802788314669378,-0.7154925118617026
Vienna,1.28,1.0,50.05,64.27,74633.63704159993,58794.48453056142,15839.152511038505,76854.0030653667,-868.1671940903196,26.93986117491225,-1.1769289830120018
Vienna,1.33,1.0,50.05,66.63,76963.77393760924,58794.48453056142,18169.289407047814,79679.51788394639,-1325.9588527099902,30.903050774436846,-1.7530369580634702
Vienna,1.38,1.0,50.05,69.0,79194.2564269227,58794.48453056142,20399.77189636128,82505.03270252605,-1883.3891897699823,34.69674419163835,-2.4361247740148175
Vienna,1.43,1.0,50.05,71.36,81331.49214646897,58794.48453056142,22537.007615907547,85330.54752110573,-2533.2604773790167,38.33183979050415,-3.2148697042052214
Vienna,1.47,1.0,50.05,73.72,83387.14888093313,58794.48453056142,24592.664350371713,88156.06233968539,-3264.4816277588425,41.82818260374139,-4.074354661014496
Vienna,1.52,1.0,50.05,76.08,85361.88598875275,58794.48453056142,26567.40145819133,90981.57715826508,-4077.157924204388,45.18689409443087,-5.0158966158645555
